30973230,07/22/2021
30960690,07/22/2021
30948830,07/22/2021
31000900,07/22/2021
30974230,07/22/2021
30925490,07/22/2021
30964430,07/22/2021
30987790,07/22/2021
16489700,07/22/2021
32219180,07/22/2021
16525770,07/22/2021
23247290,07/22/2021
30913910,07/22/2021
30989060,07/22/2021
16472290,07/22/2021
30913860,07/22/2021
18085410,07/22/2021
30924890,07/22/2021
166793022,07/22/2021
30964660,07/22/2021
16482950,07/22/2021
30952280,07/22/2021
30950510,07/22/2021
30923210,07/22/2021
32039160,07/22/2021
31026410,07/22/2021
31026870,07/22/2021
31013920,07/22/2021
32235670,07/23/2021
17395910,07/23/2021
30961390,07/23/2021
31004850,07/23/2021
30961020,07/23/2021
30951110,07/23/2021
17553740,07/23/2021
30939390,07/23/2021
30963460,07/23/2021
30977560,07/23/2021
30962600,07/23/2021
30951010,07/23/2021
23229410,07/23/2021
31013000,07/23/2021
30913100,07/23/2021
31025930,07/23/2021
16536790,07/23/2021
30950260,07/23/2021
31012970,07/23/2021
30986730,07/23/2021
30923330,07/23/2021
31012850,07/23/2021
31623840,07/23/2021
16489370,07/23/2021
30948260,07/23/2021
30976940,07/23/2021
31013270,07/23/2021
31015030,07/23/2021
31024140,07/23/2021
16534320,07/23/2021
30952230,07/23/2021
30962700,07/23/2021
31002240,07/23/2021
30951790,07/23/2021
31026840,07/23/2021
31013110,07/23/2021
30976310,07/23/2021
23437170,07/23/2021
30936120,07/23/2021
23333120,07/23/2021
23327400,07/23/2021
30939690,07/23/2021
166926202,07/23/2021
30961930,07/23/2021
30990510,07/23/2021
30975950,07/23/2021
30926680,07/24/2021
30998340,07/24/2021
30986550,07/24/2021
17533660,07/24/2021
16508670,07/24/2021
31025910,07/24/2021
30953420,07/24/2021
31362220,07/24/2021
30927030,07/24/2021
31012930,07/24/2021
31012450,07/24/2021
30914310,07/24/2021
16544980,07/24/2021
30938950,07/24/2021
30923170,07/24/2021
31577190,07/24/2021
16543960,07/24/2021
16472670,07/24/2021
30948580,07/24/2021
32049190,07/24/2021
167600142,07/24/2021
30989870,07/24/2021
32214360,07/24/2021
30937010,07/24/2021
30963100,07/24/2021
32229510,07/24/2021
